City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pisco,-13.7,-76.2167,17.79,88,1,1.03,PE,1670134094
84,bom jesus,-9.0744,-44.3586,20.32,82,98,0.68,BR,1670134094
85,beloha,-25.1667,45.05,29.9,43,18,2.87,MG,1670134094
86,matamoros,25.5333,-103.25,18.95,63,5,1.85,MX,1670134095
87,dubbo,-32.25,148.6167,28.07,28,2,3.09,AU,1670134095
88,chuy,-33.6971,-53.4616,17.68,97,79,0.92,UY,1670134095
89,georgetown,5.4112,100.3354,29.97,79,20,4.12,MY,1670133633
90,hofn,64.2539,-15.2082,2.41,56,0,2.59,IS,1670134008
91,miquelon,47.0975,-56.3814,4.0,86,83,10.59,PM,1670134096
92,springdale,36.1867,-94.1288,1.71,64,0,2.06,US,1670133847
93,kamina,-8.7386,24.9906,19.47,93,100,1.41,CD,1670134096
94,tucurui,-3.7661,-49.6725,22.28,97,97,1.1,BR,1670133879
95,heinola,61.2056,26.0381,-3.89,99,98,0.45,FI,1670134097
96,cape town,-33.9258,18.4232,20.06,62,1,5.36,ZA,1670133965
97,koson,39.0375,65.585,4.18,33,100,1.97,UZ,1670134097
98,rudnogorsk,57.2639,103.7519,-16.39,88,100,3.49,RU,1670134097
99,alofi,-19.0595,-169.9187,27.38,70,96,1.45,NU,1670134098
100,hakodate,41.7758,140.7367,-2.74,81,95,8.08,JP,1670133859
101,coahuayana,18.7333,-103.6833,23.37,88,56,1.45,MX,1670134098
102,east london,-33.0153,27.9116,17.52,94,100,3.09,ZA,1670134099
103,cidreira,-30.1811,-50.2056,21.66,96,100,1.27,BR,1670134053
104,sao filipe,14.8961,-24.4956,21.75,61,99,1.66,CV,1670134099
105,dunedin,-45.8742,170.5036,15.45,75,100,7.15,NZ,1670134099
106,rudbar,30.15,62.6,14.64,24,1,0.75,AF,1670134100
107,tarbagatay,51.4803,107.3602,-10.26,67,88,6.07,RU,1670134100
108,avarua,-21.2078,-159.775,27.03,89,100,1.54,CK,1670133922
109,yellowknife,62.456,-114.3525,-3.71,86,75,12.35,CA,1670134101
110,kaitangata,-46.2817,169.8464,13.23,79,100,4.49,NZ,1670134101
111,shancheng,34.7953,116.0817,4.79,34,100,2.08,CN,1670134101
112,yarovoye,52.9273,78.58,-17.06,83,100,1.73,RU,1670134102
113,ust-maya,60.4167,134.5333,-28.56,100,100,0.91,RU,1670134102
114,talnakh,69.4865,88.3972,-18.22,99,100,3.32,RU,1670134102
115,hilo,19.7297,-155.09,23.49,82,100,3.09,US,1670133917
116,sasina,44.7987,16.739,2.99,94,99,0.66,BA,1670134103
117,kharhial,20.2833,82.7667,27.37,47,0,1.56,IN,1670134104
118,maniwaki,46.3834,-75.966,-5.98,74,100,3.93,CA,1670134104
119,kodiak,57.79,-152.4072,-5.27,86,0,3.6,US,1670133942
120,tuatapere,-46.1333,167.6833,12.06,93,100,4.36,NZ,1670134033
121,nemuro,43.3236,145.575,0.76,50,66,8.84,JP,1670134036
122,isangel,-19.55,169.2667,28.17,77,100,3.14,VU,1670134068
123,khatanga,71.9667,102.5,-20.95,80,70,8.75,RU,1670133935
124,qaanaaq,77.484,-69.3632,-18.73,89,99,2.78,GL,1670134105
125,torbay,47.6666,-52.7314,1.26,83,51,4.31,CA,1670134106
126,murgab,37.4966,61.9714,3.91,17,91,4.05,TM,1670134106
127,carnarvon,-24.8667,113.6333,24.41,65,5,7.63,AU,1670134106
128,druzhba,52.0428,33.9453,-6.11,60,99,5.57,UA,1670134107
129,tynda,55.1667,124.7167,-22.38,86,94,2.32,RU,1670134107
130,margate,51.3813,1.3862,4.94,80,100,2.68,GB,1670134101
131,labuhan,-6.8844,112.2051,29.34,68,100,2.7,ID,1670134107
132,nome,64.5011,-165.4064,1.04,93,100,8.23,US,1670134108
133,freetown,8.484,-13.2299,24.19,86,93,1.14,SL,1670133817
134,upernavik,72.7868,-56.1549,-6.74,90,100,6.38,GL,1670134108
135,patancheru,17.5314,78.265,26.48,45,9,2.92,IN,1670134108
136,sabang,5.8933,95.3214,27.18,72,100,3.72,ID,1670134109
137,saldanha,-33.0117,17.9442,16.85,68,22,7.85,ZA,1670133996
138,bria,6.5423,21.9863,23.13,28,31,2.09,CF,1670134109
139,sorland,67.667,12.6934,3.92,78,100,8.79,NO,1670134110
140,port hardy,50.6996,-127.4199,0.9,76,3,1.35,CA,1670133629
141,aswan,24.0934,32.907,19.38,35,52,2.68,EG,1670134110
142,portland,45.5234,-122.6762,5.32,57,75,8.94,US,1670133950
143,saskylakh,71.9167,114.0833,-21.5,94,100,9.15,RU,1670134110
144,saint-paul,-21.0096,55.2707,29.06,76,48,1.52,RE,1670134111
145,tulun,54.5611,100.5792,-12.0,74,91,1.05,RU,1670134111
146,turukhansk,65.8167,87.9833,-23.32,99,98,2.65,RU,1670134112
147,vaini,-21.2,-175.2,27.09,83,75,1.54,TO,1670134112
148,catamarca,-28.4696,-65.7852,21.44,43,68,3.51,AR,1670134112
149,saint-francois,46.4154,3.9054,2.69,93,0,4.12,FR,1670134112
150,camopi,3.1655,-52.3158,21.31,99,97,0.15,GF,1670134113
151,acarau,-2.8856,-40.12,26.09,78,25,7.18,BR,1670134113
152,eyl,7.9803,49.8164,27.55,56,29,8.68,SO,1670134113
153,namibe,-15.1961,12.1522,21.22,85,98,1.71,AO,1670134114
154,pangkalanbuun,-2.6833,111.6167,31.89,55,98,1.2,ID,1670134114
155,beringovskiy,63.05,179.3167,1.71,99,100,6.61,RU,1670134114
156,isla aguada,18.7833,-91.4667,25.73,77,74,6.43,MX,1670134115
157,port lincoln,-34.7333,135.8667,20.17,67,93,9.75,AU,1670134115
158,ajdabiya,30.7554,20.2263,13.72,52,0,5.01,LY,1670134115
159,thompson,55.7435,-97.8558,-33.07,100,66,0.73,CA,1670133628
160,mount isa,-20.7333,139.5,35.87,12,75,3.6,AU,1670134116
161,garcia hernandez,9.6144,124.2946,29.22,74,85,5.0,PH,1670134116
162,nizwa,22.9333,57.5333,24.13,37,0,1.87,OM,1670133882
163,longyearbyen,78.2186,15.6401,-1.09,74,75,7.2,SJ,1670134112
164,ranot,7.7777,100.3213,26.46,85,100,6.01,TH,1670134117
165,half moon bay,37.4636,-122.4286,11.04,96,75,0.0,US,1670134073
166,dubrovnik,42.6481,18.0922,11.8,93,75,6.69,HR,1670134117
167,grindavik,63.8424,-22.4338,3.26,100,100,2.06,IS,1670134118
168,atuona,-9.8,-139.0333,25.4,80,7,8.18,PF,1670133926
169,san carlos de bariloche,-41.1456,-71.3082,9.86,57,20,9.77,AR,1670133970
